GitCommand,Description
git-log,Show commit logs
git-maintenance,Run tasks to optimize Git repository data
git-merge,Join two or more development histories together
git-mv,Move or rename a file, a directory, or a symlink
git-notes,Add or inspect object notes
git-pull,Fetch from and integrate with another repository or a local branch
git-push,Update remote refs along with associated objects
git-range-diff,Compare two commit ranges (e.g. two versions of a branch)
git-rebase,Reapply commits on top of another base tip
git-reset,Reset current HEAD to the specified state
git-restore,Restore working tree files
git-revert,Revert some existing commits
